total,date,Suburb
490,1/08/2021,MELBOURNE
293,1/01/2021,MELBOURNE
363,1/06/2020,MELBOURNE
244,1/08/2020,MELBOURNE
435,1/05/2021,MELBOURNE
438,1/11/2021,MELBOURNE
182,1/09/2020,MELBOURNE
334,1/02/2021,MELBOURNE
373,1/07/2020,MELBOURNE
536,1/05/2022,MELBOURNE
338,1/01/2022,MELBOURNE
271,1/05/2020,MELBOURNE
453,1/12/2021,MELBOURNE
446,1/10/2021,MELBOURNE
363,1/04/2022,MELBOURNE
244,1/04/2020,MELBOURNE
447,1/03/2020,MELBOURNE
535,1/06/2022,MELBOURNE
441,1/02/2022,MELBOURNE
409,1/07/2021,MELBOURNE
464,1/09/2021,MELBOURNE
398,1/01/2020,MELBOURNE
398,1/03/2021,MELBOURNE
528,1/12/2020,MELBOURNE
666,1/11/2020,MELBOURNE
381,1/04/2021,MELBOURNE
518,1/03/2022,MELBOURNE
880,1/10/2020,MELBOURNE
406,1/02/2020,MELBOURNE
76,1/02/2020,EAST MELBOURNE
59,1/12/2021,EAST MELBOURNE
52,1/01/2022,EAST MELBOURNE
69,1/08/2021,EAST MELBOURNE
68,1/06/2022,EAST MELBOURNE
40,1/06/2020,EAST MELBOURNE
58,1/12/2020,EAST MELBOURNE
63,1/04/2020,EAST MELBOURNE
64,1/11/2021,EAST MELBOURNE
55,1/03/2021,EAST MELBOURNE
48,1/01/2021,EAST MELBOURNE
54,1/10/2021,EAST MELBOURNE
39,1/05/2020,EAST MELBOURNE
86,1/02/2022,EAST MELBOURNE
33,1/09/2020,EAST MELBOURNE
73,1/04/2022,EAST MELBOURNE
57,1/11/2020,EAST MELBOURNE
44,1/07/2020,EAST MELBOURNE
61,1/05/2021,EAST MELBOURNE
12,1/08/2020,EAST MELBOURNE
82,1/07/2021,EAST MELBOURNE
35,1/10/2020,EAST MELBOURNE
43,1/02/2021,EAST MELBOURNE
68,1/03/2022,EAST MELBOURNE
105,1/09/2021,EAST MELBOURNE
61,1/04/2021,EAST MELBOURNE
65,1/03/2020,EAST MELBOURNE
67,1/01/2020,EAST MELBOURNE
97,1/05/2022,EAST MELBOURNE
25,1/01/2022,WEST MELBOURNE
38,1/06/2020,WEST MELBOURNE
19,1/05/2021,WEST MELBOURNE
21,1/02/2020,WEST MELBOURNE
25,1/08/2021,WEST MELBOURNE
29,1/11/2020,WEST MELBOURNE
18,1/02/2021,WEST MELBOURNE
15,1/04/2020,WEST MELBOURNE
20,1/09/2021,WEST MELBOURNE
20,1/06/2022,WEST MELBOURNE
32,1/10/2021,WEST MELBOURNE
21,1/07/2021,WEST MELBOURNE
22,1/12/2021,WEST MELBOURNE
11,1/01/2021,WEST MELBOURNE
13,1/05/2020,WEST MELBOURNE
21,1/10/2020,WEST MELBOURNE
27,1/12/2020,WEST MELBOURNE
23,1/11/2021,WEST MELBOURNE
24,1/03/2022,WEST MELBOURNE
22,1/04/2021,WEST MELBOURNE
16,1/03/2020,WEST MELBOURNE
6,1/09/2020,WEST MELBOURNE
27,1/03/2021,WEST MELBOURNE
16,1/04/2022,WEST MELBOURNE
37,1/01/2020,WEST MELBOURNE
23,1/02/2022,WEST MELBOURNE
25,1/05/2022,WEST MELBOURNE
2,1/08/2020,WEST MELBOURNE
8,1/07/2020,WEST MELBOURNE
64,1/06/2020,MELBOURNE
108,1/10/2021,MELBOURNE
116,1/12/2020,MELBOURNE
263,1/02/2022,MELBOURNE
78,1/01/2022,MELBOURNE
103,1/01/2021,MELBOURNE
90,1/11/2020,MELBOURNE
133,1/12/2021,MELBOURNE
378,1/02/2021,MELBOURNE
357,1/05/2021,MELBOURNE
127,1/01/2020,MELBOURNE
169,1/02/2020,MELBOURNE
121,1/09/2021,MELBOURNE
30,1/04/2020,MELBOURNE
129,1/11/2021,MELBOURNE
33,1/05/2020,MELBOURNE
247,1/03/2021,MELBOURNE
202,1/04/2022,MELBOURNE
84,1/03/2020,MELBOURNE
151,1/08/2021,MELBOURNE
196,1/06/2022,MELBOURNE
23,1/08/2020,MELBOURNE
89,1/07/2020,MELBOURNE
42,1/10/2020,MELBOURNE
24,1/09/2020,MELBOURNE
196,1/05/2022,MELBOURNE
187,1/03/2022,MELBOURNE
169,1/07/2021,MELBOURNE
280,1/04/2021,MELBOURNE
4,1/02/2021,DOCKLANDS
3,1/07/2021,DOCKLANDS
5,1/04/2022,DOCKLANDS
9,1/11/2020,DOCKLANDS
1,1/03/2021,DOCKLANDS
4,1/01/2021,DOCKLANDS
1,1/02/2022,DOCKLANDS
5,1/05/2021,DOCKLANDS
1,1/01/2020,DOCKLANDS
3,1/05/2022,DOCKLANDS
6,1/10/2020,DOCKLANDS
4,1/04/2021,DOCKLANDS
3,1/03/2022,DOCKLANDS
6,1/12/2021,DOCKLANDS
2,1/01/2022,DOCKLANDS
8,1/03/2020,DOCKLANDS
1,1/07/2020,DOCKLANDS
5,1/10/2021,DOCKLANDS
4,1/06/2022,DOCKLANDS
1,1/11/2021,DOCKLANDS
172,1/06/2020,SOUTH WHARF
172,1/06/2020,SOUTHBANK
251,1/03/2022,SOUTH WHARF
251,1/03/2022,SOUTHBANK
157,1/02/2021,SOUTH WHARF
157,1/02/2021,SOUTHBANK
151,1/01/2022,SOUTH WHARF
151,1/01/2022,SOUTHBANK
329,1/11/2021,SOUTH WHARF
329,1/11/2021,SOUTHBANK
280,1/02/2020,SOUTH WHARF
280,1/02/2020,SOUTHBANK
283,1/10/2021,SOUTH WHARF
283,1/10/2021,SOUTHBANK
137,1/07/2020,SOUTH WHARF
137,1/07/2020,SOUTHBANK
118,1/04/2020,SOUTH WHARF
118,1/04/2020,SOUTHBANK
467,1/01/2020,SOUTH WHARF
467,1/01/2020,SOUTHBANK
183,1/09/2021,SOUTH WHARF
183,1/09/2021,SOUTHBANK
179,1/04/2021,SOUTH WHARF
179,1/04/2021,SOUTHBANK
154,1/01/2021,SOUTH WHARF
154,1/01/2021,SOUTHBANK
108,1/05/2020,SOUTH WHARF
108,1/05/2020,SOUTHBANK
222,1/03/2020,SOUTH WHARF
222,1/03/2020,SOUTHBANK
203,1/08/2021,SOUTH WHARF
203,1/08/2021,SOUTHBANK
219,1/02/2022,SOUTH WHARF
219,1/02/2022,SOUTHBANK
189,1/05/2021,SOUTH WHARF
189,1/05/2021,SOUTHBANK
247,1/12/2020,SOUTH WHARF
247,1/12/2020,SOUTHBANK
47,1/09/2020,SOUTH WHARF
47,1/09/2020,SOUTHBANK
29,1/08/2020,SOUTH WHARF
29,1/08/2020,SOUTHBANK
222,1/07/2021,SOUTH WHARF
222,1/07/2021,SOUTHBANK
203,1/04/2022,SOUTH WHARF
203,1/04/2022,SOUTHBANK
272,1/10/2020,SOUTH WHARF
272,1/10/2020,SOUTHBANK
233,1/12/2021,SOUTH WHARF
233,1/12/2021,SOUTHBANK
275,1/11/2020,SOUTH WHARF
275,1/11/2020,SOUTHBANK
232,1/06/2022,SOUTH WHARF
232,1/06/2022,SOUTHBANK
233,1/05/2022,SOUTH WHARF
233,1/05/2022,SOUTHBANK
214,1/03/2021,SOUTH WHARF
214,1/03/2021,SOUTHBANK
94,1/08/2021,DOCKLANDS
53,1/01/2022,DOCKLANDS
106,1/06/2020,DOCKLANDS
74,1/05/2021,DOCKLANDS
88,1/11/2021,DOCKLANDS
43,1/04/2021,DOCKLANDS
22,1/04/2020,DOCKLANDS
37,1/02/2020,DOCKLANDS
68,1/09/2021,DOCKLANDS
62,1/06/2022,DOCKLANDS
47,1/01/2020,DOCKLANDS
60,1/12/2020,DOCKLANDS
43,1/05/2020,DOCKLANDS
34,1/02/2021,DOCKLANDS
43,1/07/2020,DOCKLANDS
121,1/10/2021,DOCKLANDS
66,1/04/2022,DOCKLANDS
47,1/03/2020,DOCKLANDS
74,1/05/2022,DOCKLANDS
17,1/08/2020,DOCKLANDS
107,1/12/2021,DOCKLANDS
51,1/01/2021,DOCKLANDS
121,1/03/2022,DOCKLANDS
52,1/11/2020,DOCKLANDS
13,1/09/2020,DOCKLANDS
46,1/10/2020,DOCKLANDS
71,1/03/2021,DOCKLANDS
83,1/02/2022,DOCKLANDS
57,1/07/2021,DOCKLANDS
70,1/09/2021,SEDDON WEST
70,1/09/2021,SEDDON
70,1/09/2021,FOOTSCRAY
48,1/02/2021,SEDDON WEST
48,1/02/2021,SEDDON
48,1/02/2021,FOOTSCRAY
63,1/01/2022,SEDDON WEST
63,1/01/2022,SEDDON
63,1/01/2022,FOOTSCRAY
15,1/04/2020,SEDDON WEST
15,1/04/2020,SEDDON
15,1/04/2020,FOOTSCRAY
84,1/05/2021,SEDDON WEST
84,1/05/2021,SEDDON
84,1/05/2021,FOOTSCRAY
50,1/02/2022,SEDDON WEST
50,1/02/2022,SEDDON
50,1/02/2022,FOOTSCRAY
63,1/05/2022,SEDDON WEST
63,1/05/2022,SEDDON
63,1/05/2022,FOOTSCRAY
86,1/12/2020,SEDDON WEST
86,1/12/2020,SEDDON
86,1/12/2020,FOOTSCRAY
56,1/08/2021,SEDDON WEST
56,1/08/2021,SEDDON
56,1/08/2021,FOOTSCRAY
77,1/04/2021,SEDDON WEST
77,1/04/2021,SEDDON
77,1/04/2021,FOOTSCRAY
40,1/07/2020,SEDDON WEST
40,1/07/2020,SEDDON
40,1/07/2020,FOOTSCRAY
63,1/03/2022,SEDDON WEST
63,1/03/2022,SEDDON
63,1/03/2022,FOOTSCRAY
46,1/04/2022,SEDDON WEST
46,1/04/2022,SEDDON
46,1/04/2022,FOOTSCRAY
56,1/07/2021,SEDDON WEST
56,1/07/2021,SEDDON
56,1/07/2021,FOOTSCRAY
75,1/11/2021,SEDDON WEST
75,1/11/2021,SEDDON
75,1/11/2021,FOOTSCRAY
10,1/08/2020,SEDDON WEST
10,1/08/2020,SEDDON
10,1/08/2020,FOOTSCRAY
81,1/02/2020,SEDDON WEST
81,1/02/2020,SEDDON
81,1/02/2020,FOOTSCRAY
88,1/06/2022,SEDDON WEST
88,1/06/2022,SEDDON
88,1/06/2022,FOOTSCRAY
44,1/10/2021,SEDDON WEST
44,1/10/2021,SEDDON
44,1/10/2021,FOOTSCRAY
80,1/06/2020,SEDDON WEST
80,1/06/2020,SEDDON
80,1/06/2020,FOOTSCRAY
39,1/03/2020,SEDDON WEST
39,1/03/2020,SEDDON
39,1/03/2020,FOOTSCRAY
18,1/09/2020,SEDDON WEST
18,1/09/2020,SEDDON
18,1/09/2020,FOOTSCRAY
62,1/01/2020,SEDDON WEST
62,1/01/2020,SEDDON
62,1/01/2020,FOOTSCRAY
39,1/10/2020,SEDDON WEST
39,1/10/2020,SEDDON
39,1/10/2020,FOOTSCRAY
34,1/05/2020,SEDDON WEST
34,1/05/2020,SEDDON
34,1/05/2020,FOOTSCRAY
70,1/11/2020,SEDDON WEST
70,1/11/2020,SEDDON
70,1/11/2020,FOOTSCRAY
54,1/12/2021,SEDDON WEST
54,1/12/2021,SEDDON
54,1/12/2021,FOOTSCRAY
60,1/01/2021,SEDDON WEST
60,1/01/2021,SEDDON
60,1/01/2021,FOOTSCRAY
63,1/03/2021,SEDDON WEST
63,1/03/2021,SEDDON
63,1/03/2021,FOOTSCRAY
69,1/02/2020,KINGSVILLE
69,1/02/2020,BROOKLYN
69,1/02/2020,MAIDSTONE
69,1/02/2020,WEST FOOTSCRAY
69,1/02/2020,TOTTENHAM
