"Origin_Station","Station_Name","Origin_Lat","Origin_Long","Destination_Lat","Destination_Long","Total_Passengers_Boarded"
"Alamein","Ashburton",-37.86832039,145.0796557,-37.86196753,145.0813438,2460
"Alamein","Auburn",-37.86832039,145.0796557,-37.82239831,145.0458437,1960
"Alamein","Burnley",-37.86832039,145.0796557,-37.82756022,145.0075551,2240
"Alamein","Burwood",-37.86832039,145.0796557,-37.85156328,145.0805111,2120
"Alamein","Camberwell",-37.86832039,145.0796557,-37.82656714,145.0586972,2150
"Alamein","East Richmond",-37.86832039,145.0796557,-37.82639995,144.9970657,540
"Alamein","Flagstaff",-37.86832039,145.0796557,-37.81198131,144.9556538,680
"Alamein","Glenferrie",-37.86832039,145.0796557,-37.82146682,145.0364388,3550
"Alamein","Hartwell",-37.86832039,145.0796557,-37.84398457,145.0755596,1490
"Alamein","Hawthorn",-37.86832039,145.0796557,-37.82182601,145.0228987,1740
"Alamein","Melbourne Central",-37.86832039,145.0796557,-37.80993877,144.9625935,300
"Alamein","Parliament",-37.86832039,145.0796557,-37.81105406,144.9729109,160
"Alamein","Richmond",-37.86832039,145.0796557,-37.82407446,144.9901643,1760
"Alamein","Riversdale",-37.86832039,145.0796557,-37.83150543,145.069646,1250
"Alamein","Southern Cross",-37.86832039,145.0796557,-37.81793643,144.9514112,650
"Alamein","Willison",-37.86832039,145.0796557,-37.83571565,145.0702976,530
"Albury","Benalla",-36.08426161,146.9245154,-36.54455031,145.9839151,140
"Albury","Euroa",-36.08426161,146.9245154,-36.74914593,145.5678643,30
"Albury","Seymour",-36.08426161,146.9245154,-37.024725,145.137733,40
"Albury","Springhurst",-36.08426161,146.9245154,-36.1858934,146.470417,10
"Albury","Wangaratta",-36.08426161,146.9245154,-36.35510089,146.3170385,420
"Albury","Wodonga",-36.08426161,146.9245154,-36.1058271,146.8712657,310
"Anstey","Brunswick",-37.76124203,144.960684,-37.76772055,144.9595865,260
"Anstey","Flemington Bridge",-37.76124203,144.960684,-37.78813995,144.9393233,20
"Anstey","Jewell",-37.76124203,144.960684,-37.77498702,144.9587169,30
"Anstey","Macaulay",-37.76124203,144.960684,-37.79426673,144.9361663,80
"Anstey","Melbourne Central",-37.76124203,144.960684,-37.80993877,144.9625935,40
"Anstey","North Melbourne",-37.76124203,144.960684,-37.80630984,144.9415102,70
"Anstey","Royal Park",-37.76124203,144.960684,-37.78119293,144.9523013,90
"Anstey","Southern Cross",-37.76124203,144.960684,-37.81793643,144.9514112,20
"Ararat","Ardeer",-37.28220485,142.9369137,-37.783063,144.802193,40
"Ararat","Bacchus Marsh",-37.28220485,142.9369137,-37.687582,144.436788,640
"Ararat","Ballan",-37.28220485,142.9369137,-37.6043,144.225443,110
"Ararat","Ballarat",-37.28220485,142.9369137,-37.55879,143.859452,970
"Ararat","Beaufort",-37.28220485,142.9369137,-37.42787497,143.3822337,150
"Ararat","Caroline Springs",-37.28220485,142.9369137,-37.767153,144.738023,120
"Ararat","Cobblebank",-37.28220485,142.9369137,-37.712542,144.604103,60
"Ararat","Deer Park",-37.28220485,142.9369137,-37.77776,144.772307,220
"Ararat","Melton",-37.28220485,142.9369137,-37.703289,144.572525,550
"Ararat","Rockbank",-37.28220485,142.9369137,-37.729258,144.65063,200
"Ararat","Wendouree",-37.28220485,142.9369137,-37.539713,143.820062,170
"Auburn","Hawthorn",-37.82239831,145.0458437,-37.82182601,145.0228987,20
"Bacchus Marsh","Ardeer",-37.687582,144.436788,-37.783063,144.802193,80
"Bacchus Marsh","Caroline Springs",-37.687582,144.436788,-37.767153,144.738023,490
"Bacchus Marsh","Cobblebank",-37.687582,144.436788,-37.712542,144.604103,610
"Bacchus Marsh","Deer Park",-37.687582,144.436788,-37.77776,144.772307,180
"Bacchus Marsh","Melton",-37.687582,144.436788,-37.703289,144.572525,2210
"Bacchus Marsh","Rockbank",-37.687582,144.436788,-37.729258,144.65063,310
"Bairnsdale","Drouin",-37.82872043,147.6276138,-38.136453,145.855943,150
"Bairnsdale","Longwarry",-37.82872043,147.6276138,-38.110992,145.76686,10
"Bairnsdale","Moe",-37.82872043,147.6276138,-38.176713,146.262698,250
"Bairnsdale","Morwell",-37.82872043,147.6276138,-38.236723,146.396752,170
"Bairnsdale","Pakenham",-37.82872043,147.6276138,-38.08061397,145.4863791,120
"Bairnsdale","Rosedale",-37.82872043,147.6276138,-38.15640367,146.7869664,10
"Bairnsdale","Sale",-37.82872043,147.6276138,-38.10310272,147.0548051,250
"Bairnsdale","Stratford",-37.82872043,147.6276138,-37.96704739,147.0814694,40
"Bairnsdale","Trafalgar",-37.82872043,147.6276138,-38.207239,146.15477,30
"Bairnsdale","Traralgon",-37.82872043,147.6276138,-38.198889,146.537884,210
"Bairnsdale","Warragul",-37.82872043,147.6276138,-38.165227,145.93309,280
"Ballarat","Bacchus Marsh",-37.55879,143.859452,-37.687582,144.436788,60
"Ballarat","Ballan",-37.55879,143.859452,-37.6043,144.225443,50
"Ballarat","Caroline Springs",-37.55879,143.859452,-37.767153,144.738023,10
"Ballarat","Cobblebank",-37.55879,143.859452,-37.712542,144.604103,80
"Ballarat","Deer Park",-37.55879,143.859452,-37.77776,144.772307,60
"Ballarat","Melton",-37.55879,143.859452,-37.703289,144.572525,50
"Ballarat","Rockbank",-37.55879,143.859452,-37.729258,144.65063,40
"Batman","Brunswick",-37.73352285,144.9628406,-37.76772055,144.9595865,20
"Batman","Coburg",-37.73352285,144.9628406,-37.74234502,144.9633363,50
"Batman","Flagstaff",-37.73352285,144.9628406,-37.81198131,144.9556538,20
"Batman","Jewell",-37.73352285,144.9628406,-37.77498702,144.9587169,10
"Batman","Melbourne Central",-37.73352285,144.9628406,-37.80993877,144.9625935,10
"Batman","North Melbourne",-37.73352285,144.9628406,-37.80630984,144.9415102,20
"Bayswater","Box Hill",-37.84173004,145.2681364,-37.81922165,145.1214289,10
"Bayswater","Heathmont",-37.84173004,145.2681364,-37.82832227,145.2445554,10
"Belgrave","Auburn",-37.9091021,145.3552913,-37.82239831,145.0458437,740
"Belgrave","Bayswater",-37.9091021,145.3552913,-37.84173004,145.2681364,5770
"Belgrave","Blackburn",-37.9091021,145.3552913,-37.82007075,145.1500135,5600
"Belgrave","Boronia",-37.9091021,145.3552913,-37.8604518,145.2843851,6700
"Belgrave","Box Hill",-37.9091021,145.3552913,-37.81922165,145.1214289,10850
"Belgrave","Burnley",-37.9091021,145.3552913,-37.82756022,145.0075551,1120
"Belgrave","Camberwell",-37.9091021,145.3552913,-37.82656714,145.0586972,4090
"Belgrave","Canterbury",-37.9091021,145.3552913,-37.82448518,145.0812242,540
"Belgrave","Chatham",-37.9091021,145.3552913,-37.82429952,145.0886479,180
"Belgrave","East Camberwell",-37.9091021,145.3552913,-37.82589419,145.0681902,360
"Belgrave","Ferntree Gully",-37.9091021,145.3552913,-37.88169799,145.2952513,4720
"Belgrave","Flagstaff",-37.9091021,145.3552913,-37.81198131,144.9556538,1610
"Belgrave","Glenferrie",-37.9091021,145.3552913,-37.82146682,145.0364388,5140
"Belgrave","Hawthorn",-37.9091021,145.3552913,-37.82182601,145.0228987,570
"Belgrave","Heatherdale",-37.9091021,145.3552913,-37.81889537,145.2127872,2170
