"Line_Name","Year","Month","total_passenger_boardings","total_passenger_departure_load"
"Alamein",2020,7,880,5290
"Alamein",2020,8,200,1880
"Alamein",2020,9,280,2300
"Alamein",2020,10,650,4630
"Alamein",2020,11,1910,8710
"Alamein",2020,12,1790,9950
"Alamein",2021,1,1500,8830
"Alamein",2021,2,2580,14210
"Alamein",2021,3,4370,20840
"Alamein",2021,4,3090,17120
"Alamein",2021,5,3780,19290
"Alamein",2021,6,1850,10750
"Alamein",2021,7,2130,10560
"Alamein",2021,8,950,5650
"Alamein",2021,9,420,3100
"Alamein",2021,10,760,4270
"Alamein",2021,11,2410,12020
"Alamein",2021,12,3080,14330
"Alamein",2022,1,1210,6300
"Alamein",2022,2,2180,12340
"Alamein",2022,3,4990,25640
"Alamein",2022,4,3200,18490
"Alamein",2022,5,4420,24080
"Alamein",2022,6,4040,19460
"Belgrave",2020,7,3580,30940
"Belgrave",2020,8,1200,12790
"Belgrave",2020,9,1260,14180
"Belgrave",2020,10,2790,22840
"Belgrave",2020,11,6380,51230
"Belgrave",2020,12,9650,79830
"Belgrave",2021,1,6830,61880
"Belgrave",2021,2,9930,77920
"Belgrave",2021,3,14830,116500
"Belgrave",2021,4,15370,117270
"Belgrave",2021,5,14530,97370
"Belgrave",2021,6,7990,59270
"Belgrave",2021,7,8380,67980
"Belgrave",2021,8,3470,30020
"Belgrave",2021,9,2920,23860
"Belgrave",2021,10,5030,36800
"Belgrave",2021,11,10700,77570
"Belgrave",2021,12,12000,90660
"Belgrave",2022,1,6410,58010
"Belgrave",2022,2,10240,78260
"Belgrave",2022,3,14060,96850
"Belgrave",2022,4,13640,103300
"Belgrave",2022,5,17290,123060
"Belgrave",2022,6,14240,113410
"Craigieburn",2020,7,6060,54120
"Craigieburn",2020,8,3070,36240
"Craigieburn",2020,9,3100,30870
"Craigieburn",2020,10,4890,45560
"Craigieburn",2020,11,11270,99430
"Craigieburn",2020,12,10430,101860
"Craigieburn",2021,1,8900,72470
"Craigieburn",2021,2,10940,100420
"Craigieburn",2021,3,16350,148340
"Craigieburn",2021,4,15140,114830
"Craigieburn",2021,5,18180,138260
"Craigieburn",2021,6,8810,79380
"Craigieburn",2021,7,11010,91950
"Craigieburn",2021,8,5520,57630
"Craigieburn",2021,9,3670,38630
"Craigieburn",2021,10,6550,55600
"Craigieburn",2021,11,12380,109280
"Craigieburn",2021,12,14920,122760
"Craigieburn",2022,1,8550,84250
"Craigieburn",2022,2,13770,110190
"Craigieburn",2022,3,19390,167120
"Craigieburn",2022,4,15050,128100
"Craigieburn",2022,5,17220,137480
"Craigieburn",2022,6,19610,156380
"Cranbourne",2020,7,5140,43700
"Cranbourne",2020,8,2100,19420
"Cranbourne",2020,9,2020,20140
"Cranbourne",2020,10,4070,33670
"Cranbourne",2020,11,7910,58220
"Cranbourne",2020,12,7940,67110
"Cranbourne",2021,1,7800,63450
"Cranbourne",2021,2,10970,81100
"Cranbourne",2021,3,13460,99850
"Cranbourne",2021,4,14160,110630
"Cranbourne",2021,5,14190,106010
"Cranbourne",2021,6,6640,51200
"Cranbourne",2021,7,8340,72470
"Cranbourne",2021,8,4790,41150
"Cranbourne",2021,9,3180,28970
"Cranbourne",2021,10,4960,35800
"Cranbourne",2021,11,8640,60480
"Cranbourne",2021,12,7880,56140
