"Day_of_Week","Mode","Rounded_Hour","Average_Passenger_Boardings"
"Friday","Metro",0,2.55047106325707
"Friday","Metro",1,1.88050930460333
"Friday","Metro",2,1.46299483648881
"Friday","Metro",3,0.348525469168901
"Friday","Metro",4,0
"Friday","Metro",5,1.25100240577386
"Friday","Metro",6,3.52130325814536
"Friday","Metro",7,7.02571669477234
"Friday","Metro",8,10.7595152756443
"Friday","Metro",9,6.45724258289703
"Friday","Metro",10,5.41427203065134
"Friday","Metro",11,6.1310223266745
"Friday","Metro",12,6.73615247170935
"Friday","Metro",13,6.76659528907923
"Friday","Metro",14,7.74173806609547
"Friday","Metro",15,10.9823885525592
"Friday","Metro",16,12.3281596452328
"Friday","Metro",17,10.4059462550029
"Friday","Metro",18,8.98134328358209
"Friday","Metro",19,6.57023780338318
"Friday","Metro",20,4.23843296183722
"Friday","Metro",21,4.50179533213645
"Friday","Metro",22,6.22811671087533
"Friday","Metro",23,5.38240368027602
"Friday","VLine",0,1.08108108108108
"Friday","VLine",1,0
"Friday","VLine",2,0
"Friday","VLine",4,10
"Friday","VLine",5,4.1
"Friday","VLine",6,5.35580524344569
"Friday","VLine",7,9.46835443037975
"Friday","VLine",8,9.46386946386946
"Friday","VLine",9,6.85185185185185
"Friday","VLine",10,4.91002570694087
"Friday","VLine",11,4.64
"Friday","VLine",12,5.21246458923513
"Friday","VLine",13,6.53295128939828
"Friday","VLine",14,6.7741935483871
"Friday","VLine",15,7.71052631578947
"Friday","VLine",16,13.021978021978
"Friday","VLine",17,12.5507900677201
"Friday","VLine",18,9.26160337552743
"Friday","VLine",19,7.24310776942356
"Friday","VLine",20,2.46056782334385
"Friday","VLine",21,3.31081081081081
"Friday","VLine",22,1.35593220338983
"Friday","VLine",23,2.01058201058201
"Monday","Metro",0,0.695187165775401
"Monday","Metro",1,0.0996677740863787
"Monday","Metro",2,0
"Monday","Metro",4,0.37037037037037
"Monday","Metro",5,1.29529683885891
"Monday","Metro",6,3.50355926957598
"Monday","Metro",7,6.79865206402696
"Monday","Metro",8,10.7603248660791
"Monday","Metro",9,6.20582877959927
"Monday","Metro",10,5.0273631840796
"Monday","Metro",11,5.60623556581986
"Monday","Metro",12,5.9360599078341
"Monday","Metro",13,6.34671320535195
"Monday","Metro",14,6.98096371207614
"Monday","Metro",15,8.66064092029581
"Monday","Metro",16,10.7386238733788
"Monday","Metro",17,9.63938179736691
"Monday","Metro",18,8.59400544959128
"Monday","Metro",19,3.98972602739726
"Monday","Metro",20,2.47631935047361
"Monday","Metro",21,2.86746987951807
"Monday","Metro",22,3.33890746934225
"Monday","Metro",23,1.6875
"Monday","VLine",0,0.340909090909091
"Monday","VLine",1,0
"Monday","VLine",2,0
