"cd ad pstcd","total","date"
3,1,2022-04-01
820,1,2022-04-01
2000,46,2022-04-01
2009,1,2022-04-01
2060,11,2022-04-01
2064,22,2022-04-01
2065,35,2022-04-01
2073,6,2022-04-01
2080,20,2022-04-01
2085,2,2022-04-01
2095,1,2022-04-01
2100,1,2022-04-01
2102,4,2022-04-01
2103,1,2022-04-01
2113,2,2022-04-01
2121,1,2022-04-01
2127,2,2022-04-01
2138,3,2022-04-01
2141,5,2022-04-01
2148,2,2022-04-01
2153,1,2022-04-01
2154,1,2022-04-01
2164,1,2022-04-01
2170,1,2022-04-01
2190,1,2022-04-01
2198,2,2022-04-01
2208,2,2022-04-01
2209,14,2022-04-01
2212,13,2022-04-01
2217,1,2022-04-01
2224,1,2022-04-01
2230,1,2022-04-01
2231,1,2022-04-01
2250,1,2022-04-01
2565,1,2022-04-01
2612,1,2022-04-01
2640,16,2022-04-01
2641,5,2022-04-01
2642,2,2022-04-01
2644,1,2022-04-01
2645,1,2022-04-01
2646,1,2022-04-01
2647,1,2022-04-01
2650,1,2022-04-01
2660,1,2022-04-01
2680,3,2022-04-01
2714,4,2022-04-01
2731,2,2022-04-01
2732,2,2022-04-01
2738,1,2022-04-01
2739,3,2022-04-01
2747,1,2022-04-01
2750,2,2022-04-01
2765,1,2022-04-01
2795,1,2022-04-01
3000,363,2022-04-01
3001,2,2022-04-01
3002,73,2022-04-01
3003,16,2022-04-01
3004,202,2022-04-01
3005,5,2022-04-01
3006,203,2022-04-01
3008,66,2022-04-01
3011,46,2022-04-01
3012,57,2022-04-01
3013,26,2022-04-01
3015,44,2022-04-01
3016,34,2022-04-01
3018,46,2022-04-01
3019,87,2022-04-01
3020,109,2022-04-01
3021,70,2022-04-01
3022,3,2022-04-01
3023,196,2022-04-01
3024,80,2022-04-01
3025,28,2022-04-01
3026,110,2022-04-01
3027,25,2022-04-01
3028,57,2022-04-01
3029,480,2022-04-01
3030,348,2022-04-01
3031,26,2022-04-01
3032,60,2022-04-01
3033,47,2022-04-01
3034,27,2022-04-01
3036,17,2022-04-01
3037,126,2022-04-01
3038,72,2022-04-01
3039,53,2022-04-01
3040,83,2022-04-01
3041,103,2022-04-01
3042,39,2022-04-01
3043,386,2022-04-01
3044,61,2022-04-01
3045,9,2022-04-01
3046,67,2022-04-01
3047,31,2022-04-01
3048,23,2022-04-01
3049,31,2022-04-01
3050,5,2022-04-01
3051,26,2022-04-01
3052,20,2022-04-01
3053,45,2022-04-01
3054,13,2022-04-01
3055,10,2022-04-01
3056,135,2022-04-01
3057,16,2022-04-01
3058,65,2022-04-01
3059,74,2022-04-01
3060,28,2022-04-01
3061,79,2022-04-01
3062,27,2022-04-01
3063,1,2022-04-01
3064,340,2022-04-01
3065,17,2022-04-01
3066,36,2022-04-01
3067,25,2022-04-01
3068,23,2022-04-01
3070,20,2022-04-01
3071,26,2022-04-01
3072,129,2022-04-01
3073,84,2022-04-01
3074,60,2022-04-01
3075,40,2022-04-01
3076,121,2022-04-01
