Year,Month,Total,Average,Mode
2020,7,72096,32.08544726,Vehicle
2020,7,67370,3.260417171,Train
2020,8,34987,16.45672625,Vehicle
2020,8,27070,1.387849269,Train
2020,9,45981,21.25797503,Vehicle
2020,9,28720,1.468828313,Train
2020,10,69397,31.51544051,Vehicle
2020,10,56400,2.771362587,Train
2020,11,98425,43.39726631,Vehicle
2020,11,119140,5.961471103,Train
2020,12,100234,44.35132743,Vehicle
2020,12,152250,7.089639115,Train
2021,1,74463,33.80072628,Vehicle
2021,1,133440,6.403992897,Train
2021,2,76206,33.58572058,Vehicle
2021,2,158750,8.076825235,Train
2021,3,98847,43.20236014,Vehicle
2021,3,239210,10.74714709,Train
2021,4,85443,37.21385017,Vehicle
2021,4,239820,11.18876551,Train
2021,5,92838,40.06819163,Vehicle
2021,5,238990,10.94827981,Train
2021,6,121870,5.618200258,Train
2021,7,85311,37.6815371,Vehicle
2021,7,144170,6.530325678,Train
2021,8,78245,34.63700753,Vehicle
2021,8,70380,3.212671749,Train
2021,9,77790,34.02887139,Vehicle
2021,9,44140,2.172564847,Train
2021,10,74438,32.67690957,Vehicle
2021,10,71280,3.594009983,Train
2021,11,88037,38.59579132,Vehicle
2021,11,165330,8.226191661,Train
2021,12,87855,38.77096205,Vehicle
2021,12,179110,8.505960013,Train
2022,1,71138,31.90044843,Vehicle
2022,1,107130,5.371540313,Train
2022,2,84128,37.12621359,Vehicle
2022,2,163490,8.384102564,Train
2022,3,98148,42.99080158,Vehicle
2022,3,278430,12.60377529,Train
2022,4,77371,34.75786164,Vehicle
2022,4,244090,11.77926841,Train
2022,5,94759,41.54274441,Vehicle
2022,5,263250,11.92255435,Train
2022,6,91862,39.87065972,Vehicle
2022,6,241550,11.42782798,Train
